DATE,GDPA,GPDIA,GCEA,EXPGSA,IMPGSA
1929-01-01,104.556,17.17,9.622,5.939,5.556
1930-01-01,92.16,11.428,10.273,4.444,4.121
1931-01-01,77.391,6.549,10.169,2.906,2.905
1932-01-01,59.522,1.819,8.946,1.975,1.932
1933-01-01,57.154,2.276,8.875,1.987,1.929
1934-01-01,66.8,4.296,10.721,2.561,2.239
1935-01-01,74.241,7.37,11.151,2.769,2.982
1936-01-01,84.83,9.391,13.398,3.007,3.154
1937-01-01,93.003,12.967,13.119,4.039,3.961
1938-01-01,87.352,7.944,14.17,3.811,2.845
1939-01-01,93.437,10.229,15.165,3.969,3.136
1940-01-01,102.899,14.579,15.562,4.897,3.426
1941-01-01,129.309,19.369,27.836,5.482,4.449
1942-01-01,165.952,11.762,65.44,4.375,4.627
1943-01-01,203.084,7.405,98.023,4.034,6.28
1944-01-01,224.447,9.18,108.643,4.88,6.904
1945-01-01,228.007,12.4,96.396,6.781,7.547
1946-01-01,227.535,33.128,43.027,14.156,6.974
1947-01-01,249.616,37.131,39.827,18.74,7.933
1948-01-01,274.468,50.347,43.755,15.547,10.06
1949-01-01,272.475,39.099,49.808,14.484,9.249
1950-01-01,299.827,56.53,50.515,12.35,11.612
1951-01-01,346.914,62.759,73.304,17.099,14.586
1952-01-01,367.341,57.274,89.583,16.459,15.295
1953-01-01,389.218,60.414,96.765,15.313,16.014
1954-01-01,390.549,58.07,92.467,15.836,15.432
1955-01-01,425.478,73.754,92.958,17.677,17.199
1956-01-01,449.353,77.685,98.18,21.284,18.923
1957-01-01,474.039,76.505,107.163,24.017,19.942
1958-01-01,481.229,70.947,114.138,20.56,20.022
1959-01-01,521.654,85.669,118.458,22.725,22.328
1960-01-01,542.382,86.477,120.52,27.045,22.841
1961-01-01,562.21,86.584,129.237,27.602,22.688
1962-01-01,603.921,96.977,140.287,29.065,24.965
1963-01-01,637.451,103.284,147.193,31.074,26.135
1964-01-01,684.46,112.15,154.763,35.019,28.104
1965-01-01,742.289,129.645,164.053,37.146,31.529
1966-01-01,813.414,144.188,185.444,40.92,37.057
1967-01-01,859.958,142.7,207.018,43.467,39.912
1968-01-01,940.651,156.923,225.526,47.906,46.556
1969-01-01,1.017.615,173.562,238.984,51.922,50.491
1970-01-01,1.073.303,170.049,252.581,59.709,55.76
1971-01-01,1164.85,196.824,267.468,62.963,62.342
1972-01-01,1279.11,228.14,286.189,70.843,74.216
1973-01-01,1.425.376,266.925,304.765,95.27,91.159
1974-01-01,1.545.243,274.526,341.37,126.65,127.465
1975-01-01,1.684.904,257.253,381.128,138.706,122.73
1976-01-01,1.873.412,323.224,404.153,149.515,151.146
1977-01-01,2.081.826,396.613,434.331,159.349,182.443
1978-01-01,2.351.599,478.377,476.336,186.883,212.25
1979-01-01,2.627.334,539.657,524.802,230.13,252.674
1980-01-01,2.857.307,530.098,589.598,280.772,293.828
1981-01-01,3.207.042,631.229,654.381,305.239,317.758
1982-01-01,3.343.789,581.034,711.473,283.21,303.184
1983-01-01,3.634.038,637.518,766.557,276.996,328.638
1984-01-01,4.037.613,820.089,827.91,302.381,405.107
1985-01-01,4.338.979,829.65,910.516,303.211,417.229
1986-01-01,4.579.631,849.146,976.076,320.998,452.867
1987-01-01,4.855.215,892.176,1031.53,363.943,508.713
1988-01-01,5.236.438,936.963,1.078.855,444.601,553.993
1989-01-01,5641.58,999.701,1.151.862,504.289,591.031
1990-01-01,5.963.144,993.448,1.238.556,551.873,629.727
1991-01-01,6.158.129,944.344,1.298.951,594.931,623.544
1992-01-01,6.520.327,1.013.006,1344.5,633.053,667.791
1993-01-01,6.858.559,1.106.826,1.364.922,654.799,719.973
1994-01-01,7.287.236,1.256.484,1.402.274,720.937,813.424
1995-01-01,7.639.749,1.317.489,1.449.431,812.81,902.572
1996-01-01,8.073.122,1.432.055,1.492.848,867.589,963.966
1997-01-01,8.577.552,1595.6,1.547.133,953.803,1.055.774
1998-01-01,9.062.817,1.736.671,1.611.609,952.979,1115.69
1999-01-01,9.630.663,1.887.059,1720.36,992.778,1.248.612
2000-01-01,10.252.347,2.038.408,1.826.845,1.096.255,1.471.305
2001-01-01,10.581.822,1.934.842,1.949.275,1.024.636,1.392.565
2002-01-01,10.936.418,1.930.417,2.088.717,998.741,1.424.143
2003-01-01,11.458.246,2.027.056,2.211.208,1.036.177,1.539.304
2004-01-01,12213.73,2.281.253,2.338.889,1.177.631,1.796.706
2005-01-01,13.036.637,2534.72,2.475.992,1.305.225,2.026.418
2006-01-01,13.814.609,2.700.954,2.624.234,1.472.613,2.243.538
2007-01-01,14451.86,2.673.011,2.790.844,1.660.853,2379.28
2008-01-01,14.712.845,2.477.613,2981.99,1.837.055,2.560.143
2009-01-01,14.448.932,1.929.664,3.073.512,1.581.996,1.978.447
2010-01-01,14.992.052,2.165.473,3.154.647,1846.28,2.360.183
2011-01-01,15.542.582,2.332.562,3.148.372,2.102.995,2.682.456
2012-01-01,16.197.007,2.621.754,3137.01,2191.28,2.759.851
2013-01-01,16.784.851,2.826.013,3.132.409,2.273.428,2764.21
2014-01-01,17.521.747,3.038.931,3.167.041,2.371.027,2.879.284
2015-01-01,18.219.297,3.211.971,3234.21,2.265.047,2.786.461
2016-01-01,18.707.189,3.169.887,3.290.979,2.217.576,2.738.146
2017-01-01,19.485.394,3.367.965,3.374.444,2.350.175,2.928.596
