DATE,GDPA,GPDIA,GCEA,EXPGSA,IMPGSA
1990-01-01,5963.144,993.448,1238.556,551.873,629.727
1991-01-01,6158.129,944.344,1298.951,594.931,623.544
1992-01-01,6520.327,1013.006,1344.5,633.053,667.791
1993-01-01,6858.559,1106.826,1364.922,654.799,719.973
1994-01-01,7287.236,1256.484,1402.274,720.937,813.424
1995-01-01,7639.749,1317.489,1449.431,812.81,902.572
1996-01-01,8073.122,1432.055,1492.848,867.589,963.966
1997-01-01,8577.552,1595.6,1547.133,953.803,1055.774
1998-01-01,9062.817,1736.671,1611.609,952.979,1115.69
1999-01-01,9630.663,1887.059,1720.36,992.778,1248.612
2000-01-01,10252.347,2038.408,1826.845,1096.255,1471.305
2001-01-01,10581.822,1934.842,1949.275,1024.636,1392.565
2002-01-01,10936.418,1930.417,2088.717,998.741,1424.143
2003-01-01,11458.246,2027.056,2211.208,1036.177,1539.304
2004-01-01,12213.73,2281.253,2338.889,1177.631,1796.706
2005-01-01,13036.637,2534.72,2475.992,1305.225,2026.418
2006-01-01,13814.609,2700.954,2624.234,1472.613,2243.538
2007-01-01,14451.86,2673.011,2790.844,1660.853,2379.28
2008-01-01,14712.845,2477.613,2981.99,1837.055,2560.143
2009-01-01,14448.932,1929.664,3073.512,1581.996,1978.447
2010-01-01,14992.052,2165.473,3154.647,1846.28,2360.183
2011-01-01,15542.582,2332.562,3148.372,2102.995,2682.456
2012-01-01,16197.007,2621.754,3137.01,2191.28,2759.851
2013-01-01,16784.851,2826.013,3132.409,2273.428,2764.21
2014-01-01,17521.747,3038.931,3167.041,2371.027,2879.284
2015-01-01,18219.297,3211.971,3234.21,2265.047,2786.461
2016-01-01,18707.189,3169.887,3290.979,2217.576,2738.146
2017-01-01,19485.394,3367.965,3374.444,2350.175,2928.596
